MSTB_YN,WEQP_GRP_NM,AGE,AGRMT_EXPIR_REM_MTH_CNT
N,AI2 STB,0.282828282828283,0.361111111111111
N,스마트 STB,0.484848484848485,0.0
N,AI STB,0.363636363636364,0.0833333333333333
N,UHD STB,0.454545454545455,0.0
N,STB,0.414141414141414,0.0
N,STB,0.404040404040404,0.0
N,UHD STB,0.494949494949495,0.0555555555555556
N,AI2 STB,0.393939393939394,0.722222222222222
N,UHD STB,0.383838383838384,0.0
Y,UHD STB,0.525252525252525,0.0
N,AI2 STB,0.343434343434343,0.333333333333333
N,AI2 STB,0.484848484848485,0.305555555555556
Y,UHD STB,0.515151515151515,0.0
N,UHD STB,0.353535353535354,0.666666666666667
Y,STB,0.484848484848485,0.0
N,STB,0.454545454545455,0.0
N,스마트3 STB(Android),0.565656565656566,0.0
N,UHD STB,0.494949494949495,0.0
N,UHD STB,0.565656565656566,0.0
N,스마트3 STB(Android),0.505050505050505,0.555555555555556
Y,UHD STB,0.464646464646465,0.611111111111111
N,스마트2 STB,0.535353535353535,0.222222222222222
N,UHD STB,0.535353535353535,0.0
Y,UHD STB,0.444444444444444,0.0833333333333333
N,스마트 STB,0.404040404040404,0.0
N,STB,0.343434343434343,0.0
N,스마트3 STB(Android),0.262626262626263,0.75
N,UHD STB,0.464646464646465,0.0
Y,UHD STB,0.575757575757576,0.0
N,스마트3 STB(Android),0.595959595959596,0.333333333333333
N,스마트2 STB,0.363636363636364,0.0
N,UHD STB,0.363636363636364,0.0
N,AI STB,0.494949494949495,0.0
N,AI STB,0.515151515151515,0.194444444444444
N,UHD STB,0.262626262626263,0.0
N,AI STB,0.373737373737374,0.0
N,UHD STB,0.383838383838384,0.0
N,UHD STB,0.454545454545455,0.0
N,UHD STB,0.353535353535354,0.0
N,스마트3 STB(Android),0.282828282828283,0.361111111111111
N,AI2 STB,0.383838383838384,0.722222222222222
N,UHD STB,0.424242424242424,0.0
N,STB,0.575757575757576,0.0
Y,UHD4 STB(AOSP),0.585858585858586,0.75
N,STB,0.565656565656566,0.0
N,스마트3 STB(Android),0.424242424242424,0.0
N,UHD STB,0.555555555555556,0.194444444444444
N,스마트3 STB(Android),0.303030303030303,0.611111111111111
N,UHD STB,0.161616161616162,0.0
N,UHD STB,0.505050505050505,0.0
Y,UHD STB,0.444444444444444,0.0
N,UHD STB,0.505050505050505,0.25
N,UHD STB,0.383838383838384,0.0
N,STB,0.595959595959596,0.0
N,UHD STB,0.606060606060606,0.0
N,UHD STB,0.383838383838384,0.0
N,AI2 STB,0.383838383838384,0.5
N,AI2 STB,0.444444444444444,0.333333333333333
N,스마트3 STB(Android),0.424242424242424,0.444444444444444
N,UHD STB,0.404040404040404,0.0
N,스마트3 STB(Android),0.464646464646465,0.333333333333333
Y,STB,0.515151515151515,0.0
N,스마트3 STB(Android),0.343434343434343,0.722222222222222
N,스마트3 STB(Android),0.313131313131313,0.888888888888889
N,UHD STB,0.636363636363636,0.888888888888889
N,UHD STB,0.383838383838384,0.0
N,STB,0.444444444444444,0.0
N,UHD STB,0.404040404040404,0.0
N,UHD STB,0.555555555555556,0.0555555555555556
N,STB,0.282828282828283,0.0
N,스마트3 STB(Android),0.666666666666667,0.0
N,UHD STB,0.444444444444444,0.0
N,UHD STB,0.535353535353535,0.333333333333333
N,AI2 STB,0.515151515151515,0.861111111111111
N,UHD STB,0.494949494949495,0.0
N,스마트3 STB(Android),0.444444444444444,0.0
N,UHD STB,0.494949494949495,0.75
N,스마트3 STB(Android),0.464646464646465,0.75
N,AI2 STB,0.616161616161616,0.694444444444444
Y,스마트3 STB(Android),0.626262626262626,0.388888888888889
N,AI2 STB,0.585858585858586,0.388888888888889
Y,UHD STB,0.404040404040404,0.0833333333333333
Y,UHD STB,0.212121212121212,0.305555555555556
Y,UHD STB,0.434343434343434,0.0
Y,AI2 STB,0.444444444444444,0.388888888888889
N,스마트 STB,0.434343434343434,0.0
N,AI STB,0.333333333333333,0.138888888888889
N,스마트3 STB(Android),0.333333333333333,0.666666666666667
N,스마트3 STB(Android),0.424242424242424,0.472222222222222
N,AI STB,0.434343434343434,0.277777777777778
N,UHD STB,0.434343434343434,0.0
N,UHD STB,0.494949494949495,0.0
N,AI2 STB,0.333333333333333,0.388888888888889
N,스마트2 STB,0.505050505050505,0.305555555555556
N,AI2 STB,0.636363636363636,0.666666666666667
N,UHD STB,0.383838383838384,0.0
N,스마트3 STB(Android),0.272727272727273,0.611111111111111
Y,UHD STB,0.222222222222222,0.277777777777778
N,스마트3 STB(Android),0.727272727272727,0.388888888888889
Y,UHD STB,0.505050505050505,0.0
N,UHD STB,0.515151515151515,0.0
N,스마트3 STB(Android),0.464646464646465,0.861111111111111
Y,UHD STB,0.505050505050505,0.0
Y,UHD STB,0.424242424242424,0.0
N,STB,0.494949494949495,0.583333333333333
N,스마트 STB,0.626262626262626,0.0
N,UHD STB,0.373737373737374,0.0
N,UHD STB,0.272727272727273,0.0833333333333333
N,STB,0.606060606060606,0.0
N,UHD STB,0.575757575757576,0.194444444444444
N,STB,0.585858585858586,0.0
N,UHD STB,0.383838383838384,0.333333333333333
N,스마트3 STB(Android),0.303030303030303,0.694444444444444
Y,AI2 STB,0.393939393939394,0.583333333333333
Y,UHD STB,0.454545454545455,0.0
N,스마트3 STB(Android),0.343434343434343,0.694444444444444
N,AI2 STB,0.717171717171717,0.527777777777778
N,스마트3 STB(Android),0.313131313131313,0.888888888888889
N,STB,0.393939393939394,0.0
N,스마트2 STB,0.424242424242424,0.222222222222222
N,스마트3 STB(Android),0.454545454545455,0.861111111111111
N,UHD STB,0.313131313131313,0.0
N,UHD STB,0.444444444444444,0.0
N,STB,0.575757575757576,0.0
Y,UHD STB,0.595959595959596,0.444444444444444
N,AI STB,0.525252525252525,0.0
Y,스마트3 STB(Android),0.484848484848485,0.166666666666667
Y,스마트3 STB(Android),0.414141414141414,0.0
Y,UHD STB,0.585858585858586,0.0
N,STB,0.636363636363636,0.0
N,UHD STB,0.474747474747475,0.0
N,AI STB,0.424242424242424,0.0
N,UHD STB,0.515151515151515,0.333333333333333
N,UHD STB,0.707070707070707,0.0
N,스마트 STB,0.404040404040404,0.0
N,스마트3 STB(Android),0.151515151515152,0.555555555555556
N,UHD STB,0.434343434343434,0.472222222222222
Y,UHD STB,0.505050505050505,0.0
Y,STB,0.434343434343434,0.0
N,UHD STB,0.333333333333333,0.111111111111111
N,UHD STB,0.323232323232323,0.25
N,스마트 STB,0.404040404040404,0.0
N,STB,0.606060606060606,0.0
Y,UHD STB,0.404040404040404,0.75
N,UHD STB,0.383838383838384,0.0
N,UHD STB,0.333333333333333,0.0
Y,스마트3 STB(Android),0.404040404040404,0.388888888888889
N,UHD STB,0.151515151515152,0.0
N,UHD STB,0.464646464646465,0.0
N,AI2 STB,0.303030303030303,0.888888888888889
N,UHD STB,0.373737373737374,0.0
N,UHD STB,0.333333333333333,0.0
N,UHD STB,0.414141414141414,0.0
N,STB,0.434343434343434,0.0
N,스마트3 STB(Android),0.606060606060606,0.416666666666667
Y,UHD STB,0.414141414141414,0.0
N,UHD STB,0.444444444444444,0.277777777777778
N,UHD STB,0.404040404040404,0.0
N,AI2 STB,0.141414141414141,0.333333333333333
N,UHD STB,0.404040404040404,0.277777777777778
N,스마트3 STB(Android),0.404040404040404,0.444444444444444
N,UHD STB,0.404040404040404,0.0
N,STB,0.555555555555556,0.0
Y,UHD4 STB(AOSP),0.454545454545455,0.694444444444444
N,STB,0.505050505050505,0.0
N,UHD STB,0.515151515151515,0.0
N,UHD STB,0.444444444444444,0.0
N,스마트3 STB(Android),0.646464646464647,0.0
N,STB,0.575757575757576,0.0
Y,스마트3 STB(Android),0.414141414141414,0.861111111111111
N,UHD STB,0.404040404040404,0.0277777777777778
N,STB,0.414141414141414,0.0
Y,STB,0.656565656565657,0.0
N,스마트3 STB(Android),0.333333333333333,0.861111111111111
Y,UHD STB,0.343434343434343,0.0
N,AI STB,0.393939393939394,0.333333333333333
N,AI STB,0.545454545454545,0.222222222222222
N,UHD STB,0.414141414141414,0.0
N,UHD STB,0.414141414141414,0.305555555555556
N,스마트3 STB(Android),0.313131313131313,0.5
N,AI2 STB,0.181818181818182,0.75
N,UHD STB,0.444444444444444,0.0
N,AI2 STB,0.333333333333333,0.333333333333333
N,UHD STB,0.252525252525253,0.0
N,스마트3 STB(Android),0.404040404040404,0.0
Y,UHD STB,0.555555555555556,0.0
N,STB,0.787878787878788,0.0
N,AI2 STB,0.484848484848485,0.638888888888889
Y,UHD STB,0.525252525252525,0.0
N,스마트3 STB(Android),0.303030303030303,0.638888888888889
N,스마트3 STB(Android),0.434343434343434,0.111111111111111
Y,UHD STB,0.575757575757576,0.0
Y,UHD STB,0.464646464646465,0.444444444444444
N,STB,0.393939393939394,0.277777777777778
N,스마트3 STB(Android),0.181818181818182,0.361111111111111
N,STB,0.454545454545455,0.166666666666667
N,UHD STB,0.161616161616162,0.0
N,UHD STB,0.373737373737374,0.0
N,UHD STB,0.636363636363636,0.0
N,UHD STB,0.303030303030303,0.0
N,AI2 STB,0.505050505050505,0.75
N,AI2 STB,0.353535353535354,0.583333333333333
N,스마트 STB,0.464646464646465,0.0
N,스마트3 STB(Android),0.313131313131313,0.777777777777778
N,UHD STB,0.373737373737374,0.0
N,AI2 STB,0.373737373737374,0.333333333333333
N,AI STB,0.565656565656566,0.222222222222222
N,UHD STB,0.555555555555556,0.138888888888889
N,UHD STB,0.454545454545455,0.944444444444444
Y,UHD STB,0.464646464646465,0.0555555555555556
N,STB,0.484848484848485,0.0
N,스마트 STB,0.666666666666667,0.0
N,UHD STB,0.373737373737374,0.0
N,UHD STB,0.585858585858586,0.0
N,스마트3 STB(Android),0.545454545454545,0.472222222222222
N,UHD STB,0.282828282828283,0.0555555555555556
Y,스마트3 STB(Android),0.585858585858586,0.166666666666667
N,스마트 STB,0.414141414141414,0.0
N,스마트3 STB(Android),0.414141414141414,0.0
Y,UHD STB,0.272727272727273,0.0
N,UHD STB,0.595959595959596,0.222222222222222
N,UHD STB,0.424242424242424,0.5
N,스마트 STB,0.545454545454545,0.222222222222222
N,STB,0.595959595959596,0.0
N,스마트3 STB(Android),0.494949494949495,0.388888888888889
N,UHD STB,0.464646464646465,0.0
N,스마트3 STB(Android),0.464646464646465,0.111111111111111
N,스마트3 STB(Android),0.292929292929293,0.75
Y,UHD STB,0.424242424242424,0.25
N,UHD STB,0.595959595959596,0.0
N,스마트3 STB(Android),0.151515151515152,0.0
N,UHD STB,0.505050505050505,0.0
N,AI STB,0.575757575757576,0.805555555555556
N,스마트 STB,0.636363636363636,0.0
N,스마트3 STB(Android),0.787878787878788,0.805555555555556
N,AI2 STB,0.282828282828283,0.472222222222222
N,UHD STB,0.626262626262626,0.0
N,AI STB,0.575757575757576,0.0
Y,UHD STB,0.121212121212121,0.5
N,UHD STB,0.535353535353535,0.0833333333333333
N,UHD STB,0.424242424242424,0.0
N,AI2 STB,0.262626262626263,0.416666666666667
N,STB,0.525252525252525,0.0
N,AI STB,0.151515151515152,0.166666666666667
N,UHD STB,0.515151515151515,0.0
N,STB,0.535353535353535,0.0
N,STB,0.656565656565657,0.0
N,스마트3 STB(Android),0.545454545454545,0.416666666666667
N,AI2 STB,0.444444444444444,0.805555555555556
N,스마트3 STB(Android),0.434343434343434,1.0
N,AI STB,0.474747474747475,0.277777777777778
N,AI2 STB,0.131313131313131,0.611111111111111
N,AI STB,0.414141414141414,0.25
N,AI2 STB,0.686868686868687,0.361111111111111
N,UHD STB,0.474747474747475,0.361111111111111
N,스마트3 STB(Android),0.545454545454545,0.527777777777778
N,STB,0.434343434343434,0.0
Y,UHD STB,0.585858585858586,0.0
N,스마트3 STB(Android),0.424242424242424,0.583333333333333
N,STB,0.434343434343434,0.0
Y,AI2 STB,0.585858585858586,0.361111111111111
Y,UHD STB,0.525252525252525,0.0
N,UHD STB,0.434343434343434,0.0277777777777778
N,스마트3 STB(Android),0.434343434343434,0.0
Y,UHD STB,0.383838383838384,0.0
Y,UHD4 STB(AOSP),0.818181818181818,0.0
Y,UHD STB,0.424242424242424,0.0
N,UHD STB,0.585858585858586,0.0
N,UHD STB,0.373737373737374,0.0
N,UHD STB,0.373737373737374,0.0
N,스마트2 STB,0.474747474747475,0.0
N,스마트3 STB(Android),0.424242424242424,0.0
N,UHD STB,0.585858585858586,0.0
N,AI2 STB,0.565656565656566,0.583333333333333
N,UHD STB,0.474747474747475,0.0
N,UHD STB,0.484848484848485,0.0
Y,UHD STB,0.393939393939394,0.0277777777777778
N,스마트 STB,0.434343434343434,0.0
N,AI STB,0.414141414141414,0.0
N,스마트3 STB(Android),0.585858585858586,0.694444444444444
Y,STB,0.646464646464647,0.0
N,UHD STB,0.404040404040404,0.0
N,UHD STB,0.525252525252525,0.0
N,AI STB,0.343434343434343,0.0833333333333333
Y,스마트3 STB(Android),0.606060606060606,0.777777777777778
N,AI STB,0.161616161616162,0.111111111111111
N,UHD STB,0.343434343434343,0.0
N,스마트3 STB(Android),0.545454545454545,0.0
Y,스마트2 STB,0.656565656565657,0.138888888888889
Y,UHD STB,0.676767676767677,0.0
N,AI2 STB,0.555555555555556,0.388888888888889
N,UHD STB,0.393939393939394,0.0
N,AI STB,0.454545454545455,0.0
N,스마트3 STB(Android),0.585858585858586,0.527777777777778
N,UHD STB,0.535353535353535,0.0
N,UHD STB,0.454545454545455,0.0
N,스마트3 STB(Android),0.424242424242424,0.0
Y,스마트3 STB(Android),0.424242424242424,0.833333333333333
N,UHD STB,0.545454545454545,0.0
Y,UHD STB,0.404040404040404,0.0
N,AI2 STB,0.343434343434343,0.611111111111111
N,AI2 STB,0.292929292929293,0.638888888888889
N,스마트 STB,0.313131313131313,0.527777777777778
Y,스마트3 STB(Android),0.121212121212121,0.361111111111111
N,UHD STB,0.666666666666667,0.0
Y,UHD STB,0.353535353535354,0.0
N,UHD STB,0.595959595959596,0.0
N,스마트3 STB(Android),0.353535353535354,0.555555555555556
N,스마트3 STB(Android),0.696969696969697,0.861111111111111
